user_id,tariff_plan,date_start
166713,A,8/15/2019
166901,A,8/23/2019
168527,A,10/29/2019
167097,A,9/1/2019
168193,A,10/16/2019
167764,A,9/30/2019
167050,A,8/29/2019
168252,A,10/17/2019
168495,A,10/28/2019
167879,A,10/3/2019
168573,A,10/31/2019
166610,A,8/12/2019
167536,A,9/19/2019
168354,A,10/23/2019
168284,A,10/20/2019
168422,A,10/24/2019
168253,A,10/18/2019
168062,A,10/11/2019
168048,A,10/10/2019
168205,A,10/16/2019
167838,A,10/2/2019
168361,A,10/23/2019
168295,A,10/21/2019
167881,A,10/3/2019
168121,A,10/14/2019
168049,A,10/10/2019
167949,A,10/7/2019
168187,A,10/16/2019
167828,A,10/2/2019
167810,A,10/1/2019
168112,A,10/14/2019
167953,A,10/7/2019
167799,A,10/1/2019
166897,A,8/23/2019
167628,A,9/24/2019
166916,A,8/23/2019
167497,A,9/18/2019
167634,A,9/24/2019
166879,A,8/22/2019
166465,A,8/5/2019
166523,A,8/7/2019
166806,A,8/20/2019
167185,A,9/5/2019
168459,A,10/26/2019
167267,A,9/10/2019
166541,A,8/7/2019
167090,A,8/30/2019
166934,A,8/26/2019
166896,A,8/23/2019
166725,A,8/16/2019
166582,A,8/9/2019
166843,A,8/21/2019
166407,A,8/2/2019
166439,A,8/2/2019
168128,A,10/15/2019
168176,A,10/16/2019
168341,A,10/22/2019
167265,A,9/10/2019
167211,A,9/6/2019
168255,A,10/18/2019
167158,A,9/4/2019
166609,A,8/12/2019
167000,A,8/28/2019
167285,A,9/10/2019
168576,A,10/31/2019
168281,A,10/19/2019
168020,A,10/9/2019
166681,A,8/14/2019
166427,A,8/2/2019
166531,A,8/7/2019
166481,A,8/5/2019
167626,A,9/24/2019
167662,A,9/24/2019
167118,A,9/2/2019
166570,A,8/9/2019
167631,A,9/24/2019
166720,C,8/16/2019
167948,C,10/7/2019
167584,C,9/21/2019
167701,C,9/26/2019
167397,C,9/16/2019
168202,C,10/16/2019
167212,C,9/6/2019
167698,C,9/25/2019
167368,C,9/13/2019
167364,C,9/13/2019
167180,C,9/5/2019
166619,C,8/12/2019
168185,C,10/16/2019
167739,C,9/27/2019
167325,C,9/11/2019
168350,C,10/22/2019
168054,C,10/10/2019
167534,C,9/19/2019
166939,C,8/26/2019
167309,C,9/11/2019
168529,C,10/29/2019
167390,C,9/14/2019
166997,C,8/28/2019
168088,C,10/14/2019
168412,C,10/24/2019
166546,C,8/8/2019
166669,C,8/14/2019
167412,C,9/16/2019
167918,C,10/4/2019
167829,C,10/2/2019
168186,C,10/16/2019
166374,C,8/1/2019
167831,C,10/2/2019
166878,C,8/22/2019
167646,C,9/24/2019
168090,C,10/14/2019
168115,C,10/14/2019
167718,C,9/26/2019
167669,C,9/25/2019
166650,C,8/13/2019
166487,C,8/6/2019
167441,C,9/17/2019
168471,C,10/28/2019
168469,C,10/28/2019
168598,C,10/31/2019
168606,C,10/31/2019
168133,C,10/15/2019
167875,C,10/3/2019
167715,C,9/26/2019
168335,C,10/22/2019
168473,C,10/28/2019
167727,C,9/26/2019
168582,C,10/31/2019
168374,C,10/23/2019
168536,C,10/29/2019
168575,C,10/31/2019
167599,C,9/23/2019
168411,C,10/24/2019
168601,C,10/31/2019
166762,C,8/19/2019
168008,C,10/9/2019
168368,C,10/23/2019
168515,C,10/29/2019
167471,C,9/18/2019
168522,C,10/29/2019
167958,C,10/7/2019
168353,C,10/23/2019
167742,C,9/27/2019
168264,C,10/18/2019
168175,C,10/16/2019
168464,C,10/28/2019
167139,C,9/3/2019
168303,C,10/21/2019
167747,C,9/27/2019
167238,C,9/9/2019
168190,C,10/16/2019
168486,C,10/28/2019
166905,C,8/23/2019
166782,C,8/19/2019
166508,C,8/6/2019
166930,C,8/23/2019
167040,C,8/29/2019
167735,C,9/27/2019
166400,C,8/1/2019
168348,C,10/22/2019
168206,C,10/16/2019
168416,C,10/24/2019
167934,C,10/7/2019
167923,C,10/7/2019
168415,C,10/24/2019
168165,C,10/15/2019
167187,C,9/5/2019
168336,C,10/22/2019
166418,C,8/2/2019
168132,C,10/15/2019
168326,C,10/22/2019
168293,C,10/21/2019
168381,C,10/23/2019
168040,C,10/10/2019
168221,C,10/17/2019
168092,C,10/14/2019
168261,C,10/18/2019
168024,C,10/9/2019
168227,C,10/17/2019
168276,C,10/18/2019
168144,C,10/15/2019
168208,C,10/16/2019
167998,C,10/9/2019
168288,C,10/21/2019
168275,C,10/18/2019
168256,C,10/18/2019
168228,C,10/17/2019
167756,C,9/27/2019
167653,C,9/24/2019
168030,C,10/9/2019
168110,C,10/14/2019
168155,C,10/15/2019
167950,C,10/7/2019
167513,C,9/19/2019
167968,C,10/8/2019
168073,C,10/11/2019
166628,C,8/12/2019
167872,C,10/3/2019
167569,C,9/20/2019
166895,C,8/23/2019
167733,C,9/27/2019
168031,C,10/10/2019
